Kurs Jual,Tanggal
14440.85,03/01/2022
14442.86,02/25/2022
14426.78,02/24/2022
14433.81,02/23/2022
14400.65,02/22/2022
14410.7,02/21/2022
14372.51,02/18/2022
14349.39,02/17/2022
14363.46,02/16/2022
14409.69,02/15/2022
14430.8,02/14/2022
14415.72,02/11/2022
14437.83,02/10/2022
14456.93,02/09/2022
14476.02,02/08/2022
14447.88,02/07/2022
14452.91,02/04/2022
14418.74,02/03/2022
14463.96,02/02/2022
14452.91,01/31/2022
14456.93,01/28/2022
14417.73,01/27/2022
14429.79,01/26/2022
14398.64,01/25/2022
14418.74,01/24/2022
14425.77,01/21/2022
14441.85,01/20/2022
14396.63,01/19/2022
14394.62,01/18/2022
14381.55,01/17/2022
14382.56,01/14/2022
14373.51,01/13/2022
14370.5,01/12/2022
14394.62,01/11/2022
14431.8,01/10/2022
14467.98,01/07/2022
14436.83,01/06/2022
14381.55,01/05/2022
14341.35,01/04/2022
14349.39,01/03/2022
14340.35,12/31/2021
14336.33,12/30/2021
14308.19,12/29/2021
14296.13,12/28/2021
14290.1,12/27/2021
14322.26,12/24/2021
14335.32,12/23/2021
14420.75,12/22/2021
14455.92,12/21/2021
14414.72,12/20/2021
14414.72,12/17/2021
14408.69,12/16/2021
14419.74,12/15/2021
14417.73,12/14/2021
14449.89,12/13/2021
14422.76,12/10/2021
14419.74,12/09/2021
14480.04,12/08/2021
14513.21,12/07/2021
14480.04,12/06/2021
14449.89,12/03/2021
14424.77,12/02/2021
14391.6,12/01/2021
14411.7,11/30/2021
14351.4,11/29/2021
14351.4,11/26/2021
14343.36,11/25/2021
14343.36,11/24/2021
14326.28,11/23/2021
14308.19,11/22/2021
14302.16,11/19/2021
14330.3,11/18/2021
14282.06,11/17/2021
14277.03,11/16/2021
14314.22,11/15/2021
14359.44,11/12/2021
14324.27,11/11/2021
14304.17,11/10/2021
14339.34,11/09/2021
14445.87,11/08/2021
14398.64,11/05/2021
14372.51,11/04/2021
14332.31,11/03/2021
14306.18,11/02/2021
14241.86,11/01/2021
14270.0,10/29/2021
14254.92,10/28/2021
14235.83,10/27/2021
14253.92,10/26/2021
14232.81,10/25/2021
14203.67,10/22/2021
14150.4,10/21/2021
14166.48,10/19/2021
14154.42,10/18/2021
14225.78,10/15/2021
14292.11,10/14/2021
14288.09,10/13/2021
14281.05,10/12/2021
14296.13,10/11/2021
14309.19,10/08/2021
14316.23,10/07/2021
14331.3,10/06/2021
14347.38,10/05/2021
14386.58,10/04/2021
14392.61,10/01/2021
14378.54,09/30/2021
14340.35,09/29/2021
14329.29,09/28/2021
14321.25,09/27/2021
14327.28,09/24/2021
14320.25,09/23/2021
14315.22,09/22/2021
14322.26,09/21/2021
14304.17,09/20/2021
14309.19,09/17/2021
14323.26,09/16/2021
14328.29,09/15/2021
14331.3,09/14/2021
14296.13,09/13/2021
14343.36,09/10/2021
14337.33,09/09/2021
14265.98,09/08/2021
14310.2,09/07/2021
14332.31,09/06/2021
14352.41,09/03/2021
14355.42,09/02/2021
14377.53,09/01/2021
14445.87,08/31/2021
14503.16,08/30/2021
14495.12,08/27/2021
14480.04,08/26/2021
14462.96,08/25/2021
14487.08,08/24/2021
14536.32,08/23/2021
14486.07,08/20/2021
14455.92,08/19/2021
14454.92,08/18/2021
14459.94,08/16/2021
14460.95,08/13/2021
14468.99,08/12/2021
14449.89,08/10/2021
14440.85,08/09/2021
14413.71,08/06/2021
14395.62,08/05/2021
14433.81,08/04/2021
14528.28,08/03/2021
14534.31,08/02/2021
14563.46,07/30/2021
14570.49,07/29/2021
14561.45,07/28/2021
14566.47,07/27/2021
14573.51,07/26/2021
14580.54,07/23/2021
14626.77,07/22/2021
14596.62,07/21/2021
14589.59,07/19/2021
